"team","abbr1","abbr2"
"Anaheim Ducks","ana","ana"
"Arizona Coyotes","ari","ari"
"Boston Bruins","bos","bos"
"Buffalo Sabres","buf","buf"
"Calgary Flames","cgy","cgy"
"Carolina Hurricanes","car","car"
"Chicago Blackhawks","chi","chi"
"Colorado Avalanche","col","col"
"Columbus Blue Jackets","cbj","cbj"
"Dallas Stars","dal","dal"
"Detroit Red Wings","det","det"
"Edmonton Oilers","edm","edm"
"Florida Panthers","fla","fla"
"Los Angeles Kings","lak","l.a."
"Minnesota Wild","min","min"
"Montreal Canadiens","mtl","mtl"
"Nashville Predators","nsh","nsh"
"New Jersey Devils","njd","n.j."
"New York Islanders","nyi","nyi"
"New York Rangers","nyr","nyr"
"Ottawa Senators","ott","ott"
"Philadelphia Flyers","phi","phi"
"Pittsburgh Penguins","pit","pit"
"San Jose Sharks","sjs","s.j."
"St. Louis Blues","stl","stl"
"Tampa Bay Lightning","tbl","t.b."
"Toronto Maple Leafs","tor","tor"
"Vancouver Canucks","van","van"
"Washington Capitals","wsh","wsh"
"Winnipeg Jets","wpg","wpg"
